,theta,ra,dec,source_g_mag,offset,found_mag,multiple_matches,pix_sub-pix_pos,al_offset,ac_offset
5529,0.4396339999999981,320.70769817,86.58942697,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5530,0.4428170000000051,320.70450901,86.61398152,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5531,0.446046999999993,320.7012733,86.63853606,20.599000930786133,0.4175020957953045,20.578125,1.0,0.0,-12.25806371977007,64.00087750245555
5532,0.3846810000000005,320.76273179,86.58945051,20.599000930786133,0.7573651695248056,20.578125,1.0,0.0,-32.94354624988362,-90.34378012084382
5533,0.3874670000000009,320.75994123,86.61400524,20.599000930786133,0.8001312391948561,20.734375,1.0,0.0,36.47952616574965,-89.63658810425898
5534,0.3902929999999998,320.75710995,86.63855995,20.599000930786133,0.5381635439260695,20.703125,1.0,0.0,-12.022331727665902,88.0454060669029
5535,0.3297280000000029,320.81776612,86.58947092,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5536,0.3321159999999992,320.81537418,86.61402579,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5537,0.3345379999999949,320.81294734,86.63858065,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5538,0.27477399999999363,320.87280105,86.58948819,20.599000930786133,0.5104135578144997,20.671875,1.0,0.0,26.578782394464064,-42.25472299194915
5539,0.276764,320.87080775,86.61404318,20.599000930786133,1.3908260136039423,20.75,1.0,0.0,-80.79714116158236,-41.3707329711779
5540,0.2787830000000042,320.86878536,86.63859817,20.599000930786133,0.3008920072166658,20.734375,1.0,0.0,-11.43300174054478,-40.66354095459306
5541,0.21981999999999857,320.92783649,86.58950231,20.599000930786133,0.5526825489757564,20.546875,1.0,0.0,-32.000618267745544,-18.210194427481714
5542,0.22141200000000083,320.92624184,86.61405741,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5543,0.22302700000000186,320.92462391,86.6386125,20.599000930786133,0.8154360797086024,20.671875,1.0,0.0,47.73572891564665,-16.619012390145723
5544,0.16486500000000603,320.98287234,86.5895133,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5545,0.16605900000000418,320.98167634,86.61406848,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5546,0.1672709999999995,320.98046289,86.63862365,20.599000930786133,0.18993156667775404,20.484375,1.0,0.0,-10.902604754880052,7.6023141784478225
5547,0.10990999999999929,321.03790849,86.58952115,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5548,0.11070599999999331,321.03711115,86.61407638,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5549,0.11151399999999967,321.03630218,86.63863162,20.599000930786133,0.2545623695553324,20.703125,1.0,0.0,-10.66687275591518,31.64684274293536
5550,0.05495500000000675,321.09294484,86.58952586,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5551,0.055352999999996655,321.09254617,86.61408113,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5552,0.055756999999999834,321.09214168,86.63863639,20.599000930786133,0.3608337567248477,20.578125,1.0,0.0,-10.37220776235462,55.691371307382695
5553,0.0,321.14798129,86.58952743,20.599000930786133,0.683994152019657,20.6875,1.0,0.0,-30.763025298907607,78.14471783447394
5554,0.0,321.14798129,86.61408271,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
5555,0.0,321.14798129,86.63863799,20.599000930786133,1.2933066148198278,20.734375,1.0,0.0,-69.01054142602062,-97.0621042785606
5556,-0.05495500000000675,321.20301774,86.58952586,20.599000930786133,0.7748161071785125,20.671875,1.0,0.0,-30.409427303890652,102.18924639892128
5557,-0.055352999999996655,321.20341641,86.61408113,20.599000930786133,0.5393078897651904,20.546875,1.0,0.0,-20.155085537588118,-73.72476773069809
5558,-0.055756999999999834,321.2038209,86.63863639,20.599000930786133,0.4454862511967087,20.734375,1.0,0.0,-9.841810776689892,-73.01757571411326
5559,-0.10990999999999929,321.2580541,86.58952115,20.599000930786133,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30
