,exp,line,powerlaw,cadence,gal mag,gal rad,peak mag
0,0.3392837906929037,0.20290646689653993,0.019127678424755344,37.0,16.0,0.5,14.0
1,0.33742445844568275,0.20354127763499777,0.0218644597739209,37.0,16.0,0.5,14.0
2,0.3445818681343985,0.2080026577796369,0.007056035178986968,37.0,16.0,0.5,14.0
3,0.3376267296910587,0.19533414015905887,0.019751155391447613,37.0,16.0,0.5,14.0
4,0.3229093469185692,0.18802789317998567,0.01930248821983366,37.0,16.0,0.5,14.0
5,0.30884906733738504,0.18866719039965524,0.011496759185304732,37.0,16.0,0.5,14.0
6,0.2878554045169829,0.16340640050150332,0.02419918460989406,37.0,16.0,0.5,14.0
7,0.29266568687191136,0.1684947025875895,0.02088695151111244,37.0,16.0,0.5,14.0
8,0.2855226789324656,0.16986592635863224,0.016837393867412738,37.0,16.0,0.5,14.0
9,0.28147495863449046,0.16908501617275806,0.027477520511149746,37.0,16.0,0.5,14.0
10,0.2757126877727518,0.16265000511834662,0.02304771120505229,37.0,16.0,0.5,14.0
11,0.7021833972313659,0.5058245975541762,0.018980670022060202,37.0,16.0,0.5,14.0
12,0.7136770400274725,0.5036627869699942,0.02194100562629496,37.0,16.0,0.5,14.0
13,0.6273710982479647,0.4397431203909855,0.01805107172626782,37.0,16.0,0.5,14.0
14,0.6199246276449368,0.4352386983672317,0.024225242408021354,37.0,16.0,0.5,14.0
15,0.6323817384670716,0.43546224922700394,0.02208439356099168,37.0,16.0,0.5,14.0
16,0.5775593290020261,0.40408072989949423,0.01669131063319859,37.0,16.0,0.5,14.0
17,0.5669713111839739,0.38747322831113784,0.021034420836094574,37.0,16.0,0.5,14.0
18,0.59518351061906,0.41581685425310555,0.01938935263008807,37.0,16.0,0.5,14.0
19,0.54115775834879,0.3669792812919981,0.014094030813644647,37.0,16.0,0.5,14.0
20,0.5153073660379931,0.34954670645054703,0.02505676732642454,37.0,16.0,0.5,14.0
21,0.07156439730432271,0.048316341517382844,0.0034750322313416614,37.0,16.0,0.5,14.0
22,0.48392612331888674,0.31738942580151774,0.009636276374120156,37.0,16.0,0.5,14.0
23,0.47268479220018894,0.3095748129700161,0.023053633742501425,37.0,16.0,0.5,14.0
24,0.4808570385088333,0.32272049403933417,0.026200751872577536,37.0,16.0,0.5,14.0
25,0.44810631522710404,0.2941169063082041,0.013177421219251261,37.0,16.0,0.5,14.0
26,0.43809392153276433,0.28932251306662843,0.018629951894981418,37.0,16.0,0.5,14.0
27,0.06843366438095033,0.0450448874324931,0.003886218577228591,37.0,16.0,0.5,14.0
28,0.39770834320736176,0.260741705670272,0.015636640778199637,37.0,16.0,0.5,14.0
29,0.40032451154775783,0.25813653373555046,0.019073346336739978,37.0,16.0,0.5,14.0
30,0.4037794900749111,0.2695692121736174,0.02301544325141666,37.0,16.0,0.5,14.0
31,0.37510993951231514,0.2411695291153468,0.015118521960137648,37.0,16.0,0.5,14.0
32,0.359313259431073,0.22493276812905175,0.01719723567396308,37.0,16.0,0.5,14.0
33,0.3691253676681494,0.23568455734329266,0.017821419593167652,37.0,16.0,0.5,14.0
34,0.352571482710299,0.2233724957026673,0.02265893343818148,37.0,16.0,0.5,14.0
35,0.34766757580063823,0.21494092008877708,0.027018033431108684,37.0,16.0,0.5,14.0
36,0.35785705763768877,0.2316344375074074,0.012849383161512374,37.0,16.0,0.5,14.0
37,0.7346611518277693,0.5359878023768996,0.019624645145385304,26.0,16.0,0.5,14.0
38,0.7612884392499125,0.5527898399776872,0.027461755795952728,26.0,16.0,0.5,14.0
39,0.744733245721607,0.5492421684293913,0.020965833685221525,26.0,16.0,0.5,14.0
40,0.7169062822392722,0.5167214489395567,0.02438834688975668,26.0,16.0,0.5,14.0
41,0.6902420916345011,0.4935478556074146,0.026667752926823166,26.0,16.0,0.5,14.0
42,0.6567820990727061,0.4718051604734788,0.0186654174313459,26.0,16.0,0.5,14.0
43,0.6566041390194333,0.4601900265237965,0.02013414436717389,26.0,16.0,0.5,14.0
44,0.6258976254314028,0.44155234918662856,0.022807608026171808,26.0,16.0,0.5,14.0
45,0.6017720746685694,0.42965394322555195,0.020433607487439342,26.0,16.0,0.5,14.0
46,0.5631968784080923,0.389645648402978,0.02016537571983397,26.0,16.0,0.5,14.0
47,0.5676753816961829,0.3916941219625481,0.018751305249746792,26.0,16.0,0.5,14.0
48,0.5429106497854086,0.3812075817049065,0.024116886480307426,26.0,16.0,0.5,14.0
49,0.5278548352921781,0.36366289511361055,0.018125496795845693,26.0,16.0,0.5,14.0
50,0.5141520939014163,0.3592692009637324,0.031730184856971745,26.0,16.0,0.5,14.0
51,0.5049498091971802,0.35292911686706985,0.02317166314512476,26.0,16.0,0.5,14.0
52,0.48935867888176093,0.3304582711702335,0.016408081331851277,26.0,16.0,0.5,14.0
53,0.45744571014358304,0.31132496154905176,0.02213706657596949,26.0,16.0,0.5,14.0
54,0.45212580007159653,0.3089960627378006,0.025174025526697997,26.0,16.0,0.5,14.0
55,0.42729336072410623,0.28304865605567725,0.01986362544935247,26.0,16.0,0.5,14.0
56,0.4292005775358168,0.28581014497941465,0.019274876106666686,26.0,16.0,0.5,14.0
57,0.4096689864533016,0.2733981381212691,0.021933878393885053,26.0,16.0,0.5,14.0
58,0.1359092524477554,0.08895764501995271,0.006516829999722824,26.0,16.0,0.5,14.0
59,0.39719046816957304,0.2637687838253122,0.019632272398871175,26.0,16.0,0.5,14.0
60,0.3740692491087095,0.24708865181820452,0.02713074640398412,26.0,16.0,0.5,14.0
61,0.8161906856851019,0.6114230315578291,0.01904904090746469,26.0,16.0,0.5,14.0
62,0.7922088120329802,0.5884296517491304,0.01861278463633097,26.0,16.0,0.5,14.0
63,0.7456312497595908,0.5525793054501666,0.019143238710723428,15.0,16.0,0.5,14.0
64,0.70712034252821,0.5221082171154486,0.01860437329790707,15.0,16.0,0.5,14.0
65,0.6939933441863365,0.5087383397146363,0.025584569240582684,15.0,16.0,0.5,14.0
66,0.671360800948781,0.48927163089724707,0.02133453186685223,15.0,16.0,0.5,14.0
67,0.6552593602704514,0.4764898860360446,0.015604560162903056,15.0,16.0,0.5,14.0
68,0.6258904469921168,0.4519907503975558,0.017057465696903543,15.0,16.0,0.5,14.0
69,0.6164470963296139,0.44420447566854704,0.01446538981282366,15.0,16.0,0.5,14.0
70,0.9982080472090169,0.7718083479038633,0.02602202416527179,15.0,16.0,0.5,14.0
71,0.952105953285081,0.7327429808271158,0.022627595528655883,15.0,16.0,0.5,14.0
72,0.9197668881298822,0.7051524590286706,0.02356827259584601,15.0,16.0,0.5,14.0
73,0.8901844562824908,0.6806155549699194,0.021694111237960625,15.0,16.0,0.5,14.0
74,0.8566691346542842,0.6512737176700877,0.02391761054625299,15.0,16.0,0.5,14.0
75,0.8093055654479018,0.616457748711011,0.016495427202908704,15.0,16.0,0.5,14.0
76,0.7760277791864607,0.5831629532983621,0.017236168690594765,15.0,16.0,0.5,14.0
77,0.7369809999591944,0.5512686422837179,0.022461296888996677,15.0,16.0,0.5,14.0
78,0.04589165264742294,0.027222626461410774,0.011779417615489124,37.0,16.0,0.5,16.0
79,0.05723758002151278,0.04066772742409369,0.02559470074261529,37.0,16.0,0.5,16.0
80,0.05766157964889734,0.040194766241878205,0.021059664958057396,37.0,16.0,0.5,16.0
81,0.05352130761261957,0.035657557778156254,0.016346512086325916,37.0,16.0,0.5,16.0
82,0.0533159264730945,0.0357897986956982,0.02394522962871048,37.0,16.0,0.5,16.0
83,0.05708150262808853,0.04136311145985802,0.025282893070121847,37.0,16.0,0.5,16.0
84,0.04828029221445096,0.02879891770095162,0.011601790562260848,37.0,16.0,0.5,16.0
85,0.0532695334125225,0.03793899169562976,0.025242533682557078,37.0,16.0,0.5,16.0
86,0.04396758214574388,0.027903708128763804,0.013587344194295256,37.0,16.0,0.5,16.0
87,0.05063259105235793,0.02897765820928214,0.020766319540756556,37.0,16.0,0.5,16.0
88,0.04531337035170908,0.02926730376815375,0.01913388651622703,37.0,16.0,0.5,16.0
89,0.1212436280313668,0.08545617070406995,0.01196643936187968,37.0,16.0,0.5,16.0
90,0.11942587296496154,0.08485868830497348,0.016555718455655767,37.0,16.0,0.5,16.0
91,0.09908259427444274,0.0692948486980552,0.017957758916327393,37.0,16.0,0.5,16.0
92,0.10709530843072437,0.070990508446041,0.007086954323048041,37.0,16.0,0.5,16.0
93,0.11244570877844422,0.07753029705346061,0.024452139082386512,37.0,16.0,0.5,16.0
94,0.08838657465866002,0.06274364166216227,0.024056141937353042,37.0,16.0,0.5,16.0
95,0.0972565067890775,0.06257136409258494,0.011222823692048528,37.0,16.0,0.5,16.0
96,0.04787182432490715,0.03315858423984764,0.010875197444730318,37.0,16.0,0.5,16.0
97,0.09655123520561491,0.07111598022302482,0.02574315343382318,37.0,16.0,0.5,16.0
98,0.08353626446980701,0.05811001244609448,0.015474549158947075,37.0,16.0,0.5,16.0
99,0.09036916771141856,0.06718456536158066,0.02498973845098127,37.0,16.0,0.5,16.0
100,0.07522297348421872,0.052996039240822856,0.020314357932550296,37.0,16.0,0.5,16.0
101,0.07625484672043463,0.05601970836862567,0.014555809638939758,37.0,16.0,0.5,16.0
102,0.04309260465468494,0.032340489916310264,0.015368175287844206,37.0,16.0,0.5,16.0
103,0.07338516535537003,0.052892584148138876,0.020865825913683553,37.0,16.0,0.5,16.0
104,0.07556018113129546,0.05184270261074038,0.01753531721483067,37.0,16.0,0.5,16.0
105,0.08189737135921883,0.05574641154682048,0.020297096398908414,37.0,16.0,0.5,16.0
106,0.07136870594426588,0.05082643024788737,0.017488651098254367,37.0,16.0,0.5,16.0
107,0.07766449813323885,0.05434619721211791,0.014250564028044543,37.0,16.0,0.5,16.0
108,0.0748073332127754,0.051263328375538236,0.016360513966317537,37.0,16.0,0.5,16.0
109,0.06523375638307646,0.03970055624572442,0.012306496228338187,37.0,16.0,0.5,16.0
110,0.07273425538845295,0.047300222261344775,0.019405038116744006,37.0,16.0,0.5,16.0
111,0.07425090190897511,0.048234348622724466,0.014782766582023404,37.0,16.0,0.5,16.0
112,0.05741673296615564,0.02982437250270662,0.008180837111477612,37.0,16.0,0.5,16.0
113,0.06120976310976201,0.03951203940821425,0.016709308403411,37.0,16.0,0.5,16.0
114,0.060696684799522935,0.04117693339528729,0.021692743596700762,37.0,16.0,0.5,16.0
115,0.1304727583860914,0.09161132027791102,0.01825821806983139,26.0,16.0,0.5,16.0
116,0.11440451117524134,0.0812327098437158,0.018628011317022485,26.0,16.0,0.5,16.0
117,0.12230430619275211,0.08872298185706044,0.01638770986920775,26.0,16.0,0.5,16.0
118,0.11998595759428991,0.08904889920768248,0.027338492657743255,26.0,16.0,0.5,16.0
119,0.10846196201991294,0.08011826291580322,0.01854289296086802,26.0,16.0,0.5,16.0
120,0.10809544977137965,0.08164374225265178,0.019670995370526405,26.0,16.0,0.5,16.0
121,0.10097260139302376,0.07352652532185379,0.015953511947348196,26.0,16.0,0.5,16.0
122,0.10204305915779122,0.07545867457423676,0.022946425666283275,26.0,16.0,0.5,16.0
123,0.10068657372202638,0.07221549715417586,0.02527377672555543,26.0,16.0,0.5,16.0
124,0.0879854551166859,0.06328228158558351,0.016894912110997723,26.0,16.0,0.5,16.0
125,0.09400240841097297,0.06370510463681653,0.01714073232117513,26.0,16.0,0.5,16.0
126,0.09023989591410922,0.06544129571532369,0.02020616301853053,26.0,16.0,0.5,16.0
127,0.08052458966985564,0.05798523805099064,0.021433088692632208,26.0,16.0,0.5,16.0
128,0.08483686553544684,0.06119477433665955,0.01943945602636246,26.0,16.0,0.5,16.0
129,0.08213121734584326,0.06016743081143728,0.01851701155334042,26.0,16.0,0.5,16.0
130,0.09128707818562788,0.06499512625924128,0.02264723075212248,26.0,16.0,0.5,16.0
131,0.07306840754050846,0.051066410187344355,0.01687932974588128,26.0,16.0,0.5,16.0
132,0.07828604756278507,0.05451497335495117,0.015948992715324642,26.0,16.0,0.5,16.0
133,0.06556126420469215,0.04468435201236676,0.019900708367701123,26.0,16.0,0.5,16.0
134,0.07487835550982516,0.04917574259265786,0.018273912511292956,26.0,16.0,0.5,16.0
